variance_id,TransactionID,NSN,Vendor,Plant,Condition_Code,UoM,Feeder_Qty,ERP_Qty,Variance,Absolute_Variance,Variance_Category,PostingDate,Week,Doc_Number,PO_Number,Invoice_ID,Amount,Variance_Amount,Commentary,Next_Steps,Confidence,Escalate,Reviewed,AI_Reason,Evidence_Doc_IDs,record_type,po_number,invoice_id,receipt_id,receipt_po_number,gl_document_id,gl_invoice_id,vendor_id,po_amount,receipt_amount,gl_amount
VAR-000053,TX-1000053,5066-3344-3843,VENDOR-053,PLANT-B,B2,EA,22,23,-1,1,Unknown / Needs Review,2025-10-25,43,DOC-792094,PO-35313,INV-7685149,4261.6,149.71,Evidence is insufficient or conflicting; escalate for human review with targeted next steps.,Collect additional documentation and structured extracts; escalate with what’s missing.,0.35,TRUE,TRUE,Unknown / Needs Review,DOC-001442,variance,PO-00053,INV-00053,RCPT-00053,PO-00053,GL-00053,INV-00053,VENDOR-053,4261.6,4261.6,4261.6
VAR-000054,TX-1000054,2730-4033-6922,VENDOR-018,PLANT-A,C3,CS,21,23,-2,2,Unknown / Needs Review,2025-09-09,37,DOC-772642,PO-76768,INV-7705490,17677.82,860.23,Evidence is insufficient or conflicting; escalate for human review with targeted next steps.,Collect additional documentation and structured extracts; escalate with what’s missing.,0.43,TRUE,FALSE,Unknown / Needs Review,"DOC-001443,DOC-001444",variance,PO-00054,INV-00054,RCPT-00054,PO-00054,GL-00054,INV-00054,VENDOR-018,17677.82,17677.82,17677.82
VAR-000055,TX-1000055,3230-6940-5464,VENDOR-054,PLANT-C,A1,EA,19,21,-2,2,Missing Receipt,2025-11-03,45,DOC-373903,PO-33405,INV-5453786,50014.06,22480.75,Expected receiving activity not found; variance likely tied to incomplete receipt recording.,Validate receiving documentation; record receipt or correct receiving linkage; document proof.,0.55,FALSE,TRUE,Missing Receipt,"DOC-001445,DOC-001446",variance,PO-00055,INV-00055,RCPT-00055,PO-00055,GL-00055,INV-00055,VENDOR-054,50014.06,50014.06,50014.06
VAR-000056,TX-1000056,2359-7461-3321,VENDOR-007,PLANT-D,C3,CS,21,23,-2,2,Unknown / Needs Review,2025-09-18,38,DOC-557592,PO-89457,INV-9580255,2703.41,648.45,Evidence is insufficient or conflicting; escalate for human review with targeted next steps.,Collect additional documentation and structured extracts; escalate with what’s missing.,0.45,TRUE,FALSE,Unknown / Needs Review,DOC-001447,variance,PO-00056,INV-00056,RCPT-00056,PO-00056,GL-00056,INV-00056,VENDOR-007,2703.41,2703.41,2703.41
VAR-000057,TX-1000057,6086-1793-8763,VENDOR-025,PLANT-B,C3,EA,22,20,2,2,Manual Entry Error,2025-09-03,36,DOC-843215,PO-67154,INV-1028374,9611.39,244.66,Evidence suggests a manual quantity entry or adjustment was keyed incorrectly (unit/decimal/quantity).,Validate the source entry and submit a corrective adjustment with documented evidence.,0.69,FALSE,FALSE,Manual Entry Error,"DOC-001448,DOC-001449",variance,PO-00057,INV-00057,RCPT-00057,PO-00057,GL-00057,INV-00057,VENDOR-025,9611.39,9611.39,9611.39
VAR-000058,TX-1000058,5605-9797-2078,VENDOR-060,PLANT-B,C3,LB,18,18,0,0,Timing Difference,2025-11-15,46,DOC-173372,PO-97062,INV-6539837,598.59,34.92,Pattern indicates a timing difference between feeder and ERP posting dates (in-transit or lagging batch).,Confirm posting lag; re-check after next interface cycle; document timing evidence.,0.8,FALSE,TRUE,Timing Difference,,variance,PO-00058,INV-00058,RCPT-00058,PO-00058,GL-00058,INV-00058,VENDOR-060,598.59,598.59,598.59
VAR-000059,TX-1000059,1828-3119-6537,VENDOR-021,PLANT-A,C3,CS,16,17,-1,1,Manual Entry Error,2025-10-01,40,DOC-799287,PO-63528,INV-6472441,10908.37,350.41,Evidence suggests a manual quantity entry or adjustment was keyed incorrectly (unit/decimal/quantity).,Validate the source entry and submit a corrective adjustment with documented evidence.,0.92,FALSE,FALSE,Manual Entry Error,DOC-001450,variance,PO-00059,INV-00059,RCPT-00059,PO-00059,GL-00059,INV-00059,VENDOR-021,10908.37,10908.37,10908.37
VAR-000060,TX-1000060,1166-2560-6860,VENDOR-045,PLANT-C,B2,BX,15,17,-2,2,Conversion Error,2025-10-08,41,DOC-540869,PO-97153,INV-7361002,6861.46,880.87,Signals indicate a conversion factor issue or rounding/decimal shift during transformation between systems.,Validate conversion factors; correct transform rules; rerun affected batch if applicable.,0.65,FALSE,TRUE,Conversion Error,"DOC-001451,DOC-001452",variance,PO-00060,INV-00060,RCPT-00060,PO-00060,GL-00060,INV-00060,VENDOR-045,6861.46,6861.46,6861.46
VAR-000061,TX-1000061,3230-6940-5464,VENDOR-048,PLANT-B,C3,LB,20,17,3,3,Duplicate Transaction,2025-10-01,40,DOC-674553,PO-10053,INV-6098175,1968.05,320.05,Evidence suggests duplicate submission or reprocessing created an offsetting duplicate record.,Identify duplicate root record; reverse/void duplicate; document processing trail.,0.64,FALSE,FALSE,Duplicate Transaction,"DOC-001453,DOC-001454",variance,PO-00061,INV-00061,RCPT-00061,PO-00061,GL-00061,INV-00061,VENDOR-048,1968.05,1968.05,1968.05
VAR-000062,TX-1000062,6455-6896-2764,VENDOR-014,PLANT-D,C3,LB,21,21,0,0,Unit of Measure Mismatch,2025-10-21,43,DOC-563246,PO-67954,INV-4585314,12439.34,374.44,"Indicators suggest a unit-of-measure mismatch between feeder and ERP (e.g., EA vs CS conversion).",Validate UoM conversion; update mapping/configuration; document reference evidence.,0.64,FALSE,FALSE,Unit of Measure Mismatch,"DOC-001455,DOC-001456",variance,PO-00062,INV-00062,RCPT-00062,PO-00062,GL-00062,INV-00062,VENDOR-014,12439.34,12439.34,12439.34
VAR-000063,TX-1000063,8660-2319-6909,VENDOR-031,PLANT-B,A1,CS,19,20,-1,1,Wrong PO Reference,2025-09-09,37,DOC-640490,PO-97012,INV-6623525,18733.14,324.47,Identifiers suggest the wrong PO reference was used in one system or mapped incorrectly.,Validate PO linkage; correct reference; document upstream correction and evidence.,0.69,FALSE,TRUE,Wrong PO Reference,,variance,PO-00063,INV-00063,RCPT-00063,PO-00063,GL-00063,INV-00063,VENDOR-031,18733.14,18733.14,18733.14
VAR-000064,TX-1000064,9644-7238-5472,VENDOR-053,PLANT-B,C3,BX,18,18,0,0,Conversion Error,2025-10-07,41,DOC-945742,PO-36100,INV-3472189,23234,170.57,Signals indicate a conversion factor issue or rounding/decimal shift during transformation between systems.,Validate conversion factors; correct transform rules; rerun affected batch if applicable.,0.61,FALSE,FALSE,Conversion Error,"DOC-001457,DOC-001458",variance,PO-00064,INV-00064,RCPT-00064,PO-00064,GL-00064,INV-00064,VENDOR-053,23234,23234,23234
VAR-000065,TX-1000065,6564-3100-9016,VENDOR-003,PLANT-B,D4,EA,17,17,0,0,Unit of Measure Mismatch,2025-11-19,47,DOC-577538,PO-64321,INV-4262081,14519.95,139.38,"Indicators suggest a unit-of-measure mismatch between feeder and ERP (e.g., EA vs CS conversion).",Validate UoM conversion; update mapping/configuration; document reference evidence.,0.59,FALSE,FALSE,Unit of Measure Mismatch,"DOC-001459,DOC-001460",variance,PO-00065,INV-00065,RCPT-00065,PO-00065,GL-00065,INV-00065,VENDOR-003,14519.95,14519.95,14519.95
VAR-000066,TX-1000066,2762-8514-3749,VENDOR-045,PLANT-D,D4,LB,17,16,1,1,Batch Interface Failure,2025-10-24,43,DOC-355836,PO-29342,INV-1093026,22368.14,405.18,Indicators suggest an interface job failure or file rejection caused missing/incorrect downstream posting.,Review interface logs; reprocess file; document job outcome and corrected posting.,0.62,FALSE,TRUE,Batch Interface Failure,DOC-001461,variance,PO-00066,INV-00066,RCPT-00066,PO-00066,GL-00066,INV-00066,VENDOR-045,22368.14,22368.14,22368.14
VAR-000067,TX-1000067,7671-9584-3904,VENDOR-049,PLANT-A,D4,BX,20,20,0,0,Timing Difference,2025-10-11,41,DOC-284430,PO-77889,INV-8793853,9121.16,287.88,Pattern indicates a timing difference between feeder and ERP posting dates (in-transit or lagging batch).,Confirm posting lag; re-check after next interface cycle; document timing evidence.,0.74,FALSE,FALSE,Timing Difference,DOC-001462,variance,PO-00067,INV-00067,RCPT-00067,PO-00067,GL-00067,INV-00067,VENDOR-049,9121.16,9121.16,9121.16
VAR-000068,TX-1000068,1467-8236-5689,VENDOR-036,PLANT-B,A1,LB,19,20,-1,1,Wrong Vendor Mapping,2025-10-30,44,DOC-239816,PO-70901,INV-9910914,11208.25,86.27,Evidence suggests the vendor mapping/crosswalk is incorrect or inconsistent across systems.,Validate vendor crosswalk; correct mapping; document change control and approvals.,0.77,FALSE,FALSE,Wrong Vendor Mapping,DOC-001463,variance,PO-00068,INV-00068,RCPT-00068,PO-00068,GL-00068,INV-00068,VENDOR-036,11208.25,11208.25,11208.25
VAR-000069,TX-1000069,6212-1567-5104,VENDOR-039,PLANT-C,D4,LB,23,21,2,2,Manual Entry Error,2025-09-02,36,DOC-970914,PO-81810,INV-8481188,1836.95,438.85,Evidence suggests a manual quantity entry or adjustment was keyed incorrectly (unit/decimal/quantity).,Validate the source entry and submit a corrective adjustment with documented evidence.,0.65,FALSE,FALSE,Manual Entry Error,DOC-001464,variance,PO-00069,INV-00069,RCPT-00069,PO-00069,GL-00069,INV-00069,VENDOR-039,1836.95,1836.95,1836.95
VAR-000070,TX-1000070,7671-9584-3904,VENDOR-011,PLANT-D,D4,CS,15,15,0,0,Unknown / Needs Review,2025-11-20,47,DOC-888295,PO-42406,INV-5652512,119317.96,50125.40,Evidence is insufficient or conflicting; escalate for human review with targeted next steps.,Collect additional documentation and structured extracts; escalate with what’s missing.,0.48,TRUE,TRUE,Unknown / Needs Review,"DOC-001465,DOC-001466",variance,PO-00070,INV-00070,RCPT-00070,PO-00070,GL-00070,INV-00070,VENDOR-011,119317.96,119317.96,119317.96
VAR-000071,TX-1000071,5246-1502-8141,VENDOR-050,PLANT-D,B2,CS,13,14,-1,1,Accrual Reversal,2025-09-25,39,DOC-561239,PO-20155,INV-5793722,7783.31,174.73,Pattern indicates accrual reversal timing or reversal posted in a different period than expected.,Validate accrual and reversal periods; adjust if misposted; document period evidence.,0.68,FALSE,FALSE,Accrual Reversal,,variance,PO-00071,INV-00071,RCPT-00071,PO-00071,GL-00071,INV-00071,VENDOR-050,7783.31,7783.31,7783.31
VAR-000072,TX-1000072,4747-9441-2346,VENDOR-018,PLANT-C,C3,EA,23,22,1,1,Timing Difference,2025-10-26,43,DOC-245095,PO-29769,INV-4879923,4690.77,79.56,Pattern indicates a timing difference between feeder and ERP posting dates (in-transit or lagging batch).,Confirm posting lag; re-check after next interface cycle; document timing evidence.,0.72,FALSE,TRUE,Timing Difference,DOC-001467,variance,PO-00072,INV-00072,RCPT-00072,PO-00072,GL-00072,INV-00072,VENDOR-018,4690.77,4690.77,4690.77
VAR-000073,TX-1000073,4883-5457-5204,VENDOR-045,PLANT-B,B2,EA,25,25,0,0,Manual Entry Error,2025-11-08,45,DOC-535020,PO-63424,INV-6551268,16518.44,304.05,Evidence suggests a manual quantity entry or adjustment was keyed incorrectly (unit/decimal/quantity).,Validate the source entry and submit a corrective adjustment with documented evidence.,0.73,FALSE,FALSE,Manual Entry Error,"DOC-001468,DOC-001469,DOC-001470",variance,PO-00073,INV-00073,RCPT-00073,PO-00073,GL-00073,INV-00073,VENDOR-045,16518.44,16518.44,16518.44
VAR-000074,TX-1000074,9066-5152-6460,VENDOR-030,PLANT-D,A1,BX,15,15,0,0,Wrong Vendor Mapping,2025-10-26,43,DOC-973349,PO-65069,INV-7534336,6133.91,91.63,Evidence suggests the vendor mapping/crosswalk is incorrect or inconsistent across systems.,Validate vendor crosswalk; correct mapping; document change control and approvals.,0.63,FALSE,FALSE,Wrong Vendor Mapping,"DOC-001471,DOC-001472",variance,PO-00074,INV-00074,RCPT-00074,PO-00074,GL-00074,INV-00074,VENDOR-030,6133.91,6133.91,6133.91
VAR-000075,TX-1000075,8431-4227-2473,VENDOR-050,PLANT-A,D4,LB,19,17,2,2,Reference Data Misalignment,2025-11-27,48,DOC-106182,PO-56105,INV-6009888,15886.62,217.16,"Signals indicate mismatched master/reference data (codes, mappings, or configuration).",Check code mappings; update reference tables; document mapping changes and approvals.,0.61,FALSE,FALSE,Reference Data Misalignment,"DOC-001473,DOC-001474,DOC-001475",variance,PO-00075,INV-00075,RCPT-00075,PO-00075,GL-00075,INV-00075,VENDOR-050,15886.62,15886.62,15886.62
VAR-000076,TX-1000076,7058-6321-3341,VENDOR-025,PLANT-D,B2,LB,26,27,-1,1,Reference Data Misalignment,2025-11-28,48,DOC-330080,PO-45774,INV-8312114,19602.21,244.98,"Signals indicate mismatched master/reference data (codes, mappings, or configuration).",Check code mappings; update reference tables; document mapping changes and approvals.,0.49,TRUE,FALSE,Reference Data Misalignment,"DOC-001476,DOC-001477,DOC-001478",variance,PO-00076,INV-00076,RCPT-00076,PO-00076,GL-00076,INV-00076,VENDOR-025,19602.21,19602.21,19602.21
VAR-000077,TX-1000077,9698-4853-2566,VENDOR-002,PLANT-D,C3,LB,12,12,0,0,Accrual Reversal,2025-09-08,37,DOC-859359,PO-31632,INV-8841505,6611.17,72.62,Pattern indicates accrual reversal timing or reversal posted in a different period than expected.,Validate accrual and reversal periods; adjust if misposted; document period evidence.,0.72,FALSE,TRUE,Accrual Reversal,DOC-001479,variance,PO-00077,INV-00077,RCPT-00077,PO-00077,GL-00077,INV-00077,VENDOR-002,6611.17,6611.17,6611.17
VAR-000078,TX-1000078,1927-6009-8972,VENDOR-009,PLANT-A,D4,EA,22,21,1,1,Manual Entry Error,2025-09-17,38,DOC-188025,PO-94246,INV-8190929,18788.05,584.25,Evidence suggests a manual quantity entry or adjustment was keyed incorrectly (unit/decimal/quantity).,Validate the source entry and submit a corrective adjustment with documented evidence.,0.7,FALSE,FALSE,Manual Entry Error,"DOC-001480,DOC-001481",variance,PO-00078,INV-00078,RCPT-00078,PO-00078,GL-00078,INV-00078,VENDOR-009,18788.05,18788.05,18788.05
VAR-000079,TX-1000079,4783-8173-7115,VENDOR-056,PLANT-D,B2,EA,16,18,-2,2,Conversion Error,2025-11-03,45,DOC-372793,PO-59689,INV-6492066,8903.37,780.18,Signals indicate a conversion factor issue or rounding/decimal shift during transformation between systems.,Validate conversion factors; correct transform rules; rerun affected batch if applicable.,0.64,FALSE,FALSE,Conversion Error,"DOC-001482,DOC-001483",variance,PO-00079,INV-00079,RCPT-00079,PO-00079,GL-00079,INV-00079,VENDOR-056,8903.37,8903.37,8903.37
VAR-000080,TX-1000080,6704-5226-4208,VENDOR-030,PLANT-C,C3,LB,17,21,-4,4,Manual Entry Error,2025-10-07,41,DOC-391773,PO-65255,INV-5232413,20178.25,211.68,Evidence suggests a manual quantity entry or adjustment was keyed incorrectly (unit/decimal/quantity).,Validate the source entry and submit a corrective adjustment with documented evidence.,0.68,FALSE,TRUE,Manual Entry Error,,variance,PO-00080,INV-00080,RCPT-00080,PO-00080,GL-00080,INV-00080,VENDOR-030,20178.25,20178.25,20178.25
VAR-000081,TX-1000081,1201-2168-6649,VENDOR-006,PLANT-D,A1,EA,27,27,0,0,Stale Master Data,2025-09-29,40,DOC-466960,PO-39389,INV-2151225,5577.78,297.61,Evidence suggests stale or outdated master data driving a mismatch in posting/validation.,Refresh/update master data; document update and effect on downstream posting.,0.48,TRUE,FALSE,Stale Master Data,DOC-001484,variance,PO-00081,INV-00081,RCPT-00081,PO-00081,GL-00081,INV-00081,VENDOR-006,5577.78,5577.78,5577.78
VAR-000082,TX-1000082,1957-6496-4244,VENDOR-042,PLANT-A,A1,BX,18,20,-2,2,Price Variance,2025-10-31,44,DOC-309044,PO-12671,INV-3556551,16824.48,382.47,Variance likely driven by price mismatch between PO/invoice and posting (pricing update or contract mod).,Validate pricing source; reconcile PO/invoice differences; document contract/price evidence.,0.58,FALSE,TRUE,Price Variance,DOC-001485,variance,PO-00082,INV-00082,RCPT-00082,PO-00082,GL-00082,INV-00082,VENDOR-042,16824.48,16824.48,16824.48
VAR-000083,TX-1000083,4747-9441-2346,VENDOR-009,PLANT-D,A1,BX,13,13,0,0,Conversion Error,2025-09-05,36,DOC-587623,PO-43586,INV-7189034,9372.78,164.27,Signals indicate a conversion factor issue or rounding/decimal shift during transformation between systems.,Validate conversion factors; correct transform rules; rerun affected batch if applicable.,0.84,FALSE,FALSE,Conversion Error,DOC-001486,variance,PO-00083,INV-00083,RCPT-00083,PO-00083,GL-00083,INV-00083,VENDOR-009,9372.78,9372.78,9372.78
VAR-000084,TX-1000084,3468-9859-8083,VENDOR-039,PLANT-A,B2,CS,16,18,-2,2,Manual Entry Error,2025-10-05,40,DOC-213349,PO-85849,INV-1430812,23726.71,99.71,Evidence suggests a manual quantity entry or adjustment was keyed incorrectly (unit/decimal/quantity).,Validate the source entry and submit a corrective adjustment with documented evidence.,0.81,FALSE,FALSE,Manual Entry Error,"DOC-001487,DOC-001488,DOC-001489",variance,PO-00084,INV-00084,RCPT-00084,PO-00084,GL-00084,INV-00084,VENDOR-039,23726.71,23726.71,23726.71
VAR-000085,TX-1000085,7519-7413-5311,VENDOR-020,PLANT-D,D4,BX,14,14,0,0,Conversion Error,2025-09-04,36,DOC-179688,PO-87607,INV-5074336,33126.21,8730.20,Signals indicate a conversion factor issue or rounding/decimal shift during transformation between systems.,Validate conversion factors; correct transform rules; rerun affected batch if applicable.,0.58,FALSE,TRUE,Conversion Error,,variance,PO-00085,INV-00085,RCPT-00085,PO-00085,GL-00085,INV-00085,VENDOR-020,33126.21,33126.21,33126.21
VAR-000086,TX-1000086,8688-5037-7780,VENDOR-045,PLANT-C,A1,EA,31,31,0,0,Conversion Error,2025-09-03,36,DOC-464069,PO-79827,INV-8186990,19936.75,266.34,Signals indicate a conversion factor issue or rounding/decimal shift during transformation between systems.,Validate conversion factors; correct transform rules; rerun affected batch if applicable.,0.65,FALSE,FALSE,Conversion Error,"DOC-001490,DOC-001491",variance,PO-00086,INV-00086,RCPT-00086,PO-00086,GL-00086,INV-00086,VENDOR-045,19936.75,19936.75,19936.75
VAR-000087,TX-1000087,9523-9257-9836,VENDOR-024,PLANT-A,C3,EA,25,25,0,0,Reference Data Misalignment,2025-11-11,46,DOC-990844,PO-65057,INV-9224219,3307.45,414.13,"Signals indicate mismatched master/reference data (codes, mappings, or configuration).",Check code mappings; update reference tables; document mapping changes and approvals.,0.65,FALSE,FALSE,Reference Data Misalignment,"DOC-001492,DOC-001493",variance,PO-00087,INV-00087,RCPT-00087,PO-00087,GL-00087,INV-00087,VENDOR-024,3307.45,3307.45,3307.45
VAR-000088,TX-1000088,8688-5037-7780,VENDOR-028,PLANT-C,D4,BX,23,23,0,0,Price Variance,2025-09-14,37,DOC-556641,PO-33086,INV-9753457,21447.46,227.3,Variance likely driven by price mismatch between PO/invoice and posting (pricing update or contract mod).,Validate pricing source; reconcile PO/invoice differences; document contract/price evidence.,0.58,FALSE,TRUE,Price Variance,DOC-001494,variance,PO-00088,INV-00088,RCPT-00088,PO-00088,GL-00088,INV-00088,VENDOR-028,21447.46,21447.46,21447.46
VAR-000089,TX-1000089,2907-5818-2348,VENDOR-018,PLANT-D,D4,LB,25,25,0,0,Stale Master Data,2025-10-06,41,DOC-965845,PO-87656,INV-5502929,2792.83,337.11,Evidence suggests stale or outdated master data driving a mismatch in posting/validation.,Refresh/update master data; document update and effect on downstream posting.,0.37,TRUE,TRUE,Stale Master Data,,variance,PO-00089,INV-00089,RCPT-00089,PO-00089,GL-00089,INV-00089,VENDOR-018,2792.83,2792.83,2792.83
VAR-000090,TX-1000090,9256-3192-5964,VENDOR-055,PLANT-B,A1,CS,23,23,0,0,Partial Posting,2025-11-19,47,DOC-572700,PO-41963,INV-8796514,6265.71,191.21,Records suggest partial posting occurred (split posting or incomplete upstream transmission).,Trace upstream posting; confirm split items; complete posting or adjust as required.,0.74,FALSE,TRUE,Partial Posting,"DOC-001495,DOC-001496",variance,PO-00090,INV-00090,RCPT-00090,PO-00090,GL-00090,INV-00090,VENDOR-055,6265.71,6265.71,6265.71
VAR-000091,TX-1000091,5374-8689-7036,VENDOR-040,PLANT-D,C3,EA,12,12,0,0,Manual Entry Error,2025-09-18,38,DOC-618317,PO-52600,INV-4050766,17394.1,1116.63,Evidence suggests a manual quantity entry or adjustment was keyed incorrectly (unit/decimal/quantity).,Validate the source entry and submit a corrective adjustment with documented evidence.,0.85,FALSE,TRUE,Manual Entry Error,DOC-001497,variance,PO-00091,INV-00091,RCPT-00091,PO-00091,GL-00091,INV-00091,VENDOR-040,17394.1,17394.1,17394.1
VAR-000092,TX-1000092,9698-4853-2566,VENDOR-014,PLANT-C,C3,CS,15,14,1,1,Reference Data Misalignment,2025-10-31,44,DOC-393243,PO-88139,INV-5635017,21085.4,1273.11,"Signals indicate mismatched master/reference data (codes, mappings, or configuration).",Check code mappings; update reference tables; document mapping changes and approvals.,0.45,TRUE,FALSE,Reference Data Misalignment,"DOC-001498,DOC-001499",variance,PO-00092,INV-00092,RCPT-00092,PO-00092,GL-00092,INV-00092,VENDOR-014,21085.4,21085.4,21085.4
VAR-000093,TX-1000093,6212-1567-5104,VENDOR-001,PLANT-B,A1,BX,14,19,-5,5,Accrual Reversal,2025-11-21,47,DOC-855053,PO-63271,INV-9196976,19767.72,340.25,Pattern indicates accrual reversal timing or reversal posted in a different period than expected.,Validate accrual and reversal periods; adjust if misposted; document period evidence.,0.52,TRUE,FALSE,Accrual Reversal,DOC-001500,variance,PO-00093,INV-00093,RCPT-00093,PO-00093,GL-00093,INV-00093,VENDOR-001,19767.72,19767.72,19767.72
VAR-000094,TX-1000094,6212-1567-5104,VENDOR-049,PLANT-B,D4,LB,16,19,-3,3,Missing Receipt,2025-10-31,44,DOC-569945,PO-12260,INV-2561176,16317.87,294.79,Expected receiving activity not found; variance likely tied to incomplete receipt recording.,Validate receiving documentation; record receipt or correct receiving linkage; document proof.,0.59,FALSE,TRUE,Missing Receipt,"DOC-001501,DOC-001502",variance,PO-00094,INV-00094,RCPT-00094,PO-00094,GL-00094,INV-00094,VENDOR-049,16317.87,16317.87,16317.87
VAR-000095,TX-1000095,4128-8164-9855,VENDOR-015,PLANT-D,B2,CS,11,10,1,1,Accrual Reversal,2025-11-21,47,DOC-796212,PO-86225,INV-7191135,24277.33,939.6,Pattern indicates accrual reversal timing or reversal posted in a different period than expected.,Validate accrual and reversal periods; adjust if misposted; document period evidence.,0.63,FALSE,FALSE,Accrual Reversal,"DOC-001503,DOC-001504",variance,PO-00095,INV-00095,RCPT-00095,PO-00095,GL-00095,INV-00095,VENDOR-015,24277.33,24277.33,24277.33
VAR-000096,TX-1000096,4046-5552-2074,VENDOR-036,PLANT-C,D4,CS,16,16,0,0,Partial Posting,2025-10-05,40,DOC-468900,PO-69473,INV-5545223,897.25,410.47,Records suggest partial posting occurred (split posting or incomplete upstream transmission).,Trace upstream posting; confirm split items; complete posting or adjust as required.,0.52,TRUE,FALSE,Partial Posting,DOC-001505,variance,PO-00096,INV-00096,RCPT-00096,PO-00096,GL-00096,INV-00096,VENDOR-036,897.25,897.25,897.25
VAR-000097,TX-1000097,5066-3344-3843,VENDOR-017,PLANT-B,A1,BX,27,30,-3,3,Batch Interface Failure,2025-09-02,36,DOC-430876,PO-25670,INV-9990305,7844.94,544.22,Indicators suggest an interface job failure or file rejection caused missing/incorrect downstream posting.,Review interface logs; reprocess file; document job outcome and corrected posting.,0.72,FALSE,TRUE,Batch Interface Failure,,variance,PO-00097,INV-00097,RCPT-00097,PO-00097,GL-00097,INV-00097,VENDOR-017,7844.94,7844.94,7844.94
VAR-000098,TX-1000098,6062-2054-5632,VENDOR-045,PLANT-B,B2,BX,18,16,2,2,Duplicate Transaction,2025-10-05,40,DOC-874483,PO-73464,INV-5638893,13718.22,193.76,Evidence suggests duplicate submission or reprocessing created an offsetting duplicate record.,Identify duplicate root record; reverse/void duplicate; document processing trail.,0.58,FALSE,FALSE,Duplicate Transaction,DOC-001506,variance,PO-00098,INV-00098,RCPT-00098,PO-00098,GL-00098,INV-00098,VENDOR-045,13718.22,13718.22,13718.22
VAR-000099,TX-1000099,8038-8086-2038,VENDOR-038,PLANT-C,A1,BX,20,21,-1,1,Manual Entry Error,2025-11-16,46,DOC-410636,PO-39816,INV-7054579,4230.36,196.9,Evidence suggests a manual quantity entry or adjustment was keyed incorrectly (unit/decimal/quantity).,Validate the source entry and submit a corrective adjustment with documented evidence.,0.93,FALSE,TRUE,Manual Entry Error,DOC-001507,variance,PO-00099,INV-00099,RCPT-00099,PO-00099,GL-00099,INV-00099,VENDOR-038,4230.36,4230.36,4230.36
VAR-000100,TX-1000100,1825-1575-2778,VENDOR-020,PLANT-A,B2,CS,29,30,-1,1,Manual Entry Error,2025-11-20,47,DOC-147726,PO-17146,INV-5901239,16742.18,187.21,Evidence suggests a manual quantity entry or adjustment was keyed incorrectly (unit/decimal/quantity).,Validate the source entry and submit a corrective adjustment with documented evidence.,0.91,FALSE,FALSE,Manual Entry Error,"DOC-001508,DOC-001509",variance,PO-00100,INV-00100,RCPT-00100,PO-00100,GL-00100,INV-00100,VENDOR-020,16742.18,16742.18,16742.18
